id_klienta	nazwisko	imie	kraj
ZCJ556884	Dyakov	Enakin	RUS
VRR971457	Mszyca	Janina	POL
PGJ945760	Hurtado	Reynaldo	ARG
FBT875933	Krieger	Jonas	GER
YZT129640	Rys	Ilona	POL
YUT609893	Diaz	Andres	COL
GIO139832	Rakowska	Ewa	POL
BCE254475	Kula	Iwona	POL
JKB237228	Diemunsch	Etienne	FRA
UPR466743	Rospondek	Anna	POL
TTO727053	Rostyagaev	Dmitry	RUS
YGI713658	Shimomura	Kohei	JPN
BJI833904	Patryarcha	Iwona	POL
OIU317609	Konopka	Marzena	POL
OTU988974	Eberl	Ben	GER
WKT261025	Siwka	Anita	POL
TBB844858	Dobosz	Jan	POL
SLB528321	Barucka	Iwona	POL
VBY517063	Klezak	Zbigniew	POL
SRR870440	Raikatuji	Miyako	JPN
DOT282944	Farias	Luciano	ARG
SZY294751	Wrona	Olga	POL
ZSU420573	Mikolajczyk	Agata	POL
BTC232260	D'croz	Fiorella	COL
IOC990864	Biborski	Wawrzyniec	POL
RTT751507	Rojas	Felipe	COL
ZUF541719	Sieradzki	Baltazar	POL
RKN832950	Leszczynska	Adam	POL
IHL141872	Zakrop	Agata	POL
TEB587173	Mrozek	Maria	POL
DWH755725	Obornicki	Benedykt	POL
GZT194675	Lis	Krystyna	POL
IOR502816	Wachowska	Grzegorz	POL
RCS435762	Molina	Carlito	BRA
CTE756447	Skwara	Felicja	POL
XGG893006	Stefanska	Jolanta	POL
HRG136045	Chalaszczyk	Helena	POL
KTI529279	Duchovny	Abdumunim	RUS
BJR485134	Korepta	Janina	POL
YAC345241	Mason	Victoria	USA
RSE590603	Wagner	Luca	GER
KRP194056	Trzebnicka	Joanna	POL
FXJ350760	Legionski	Feliks	POL
BIP166862	Castaneda	Diego	COL
CBY210827	Marks	Iwona	POL
BRE277826	Wolowiec	Katarzyna	POL
ZFV770791	Zarebska	Martyna	POL
ETW970410	Esposito	Camillo	ITA
AHP356317	Stweart	Kelly	USA
TZZ728245	Palicka	Helena	POL
WUB610316	Smela	Agnieszka	POL
BUC741879	Drzewiecka-Switala	Iwona	POL
BXK255324	Slano	Perlita	COL
IWT842565	Majewska	Dorota	POL
AYO124774	Profaci	Feliciano	ITA
YXL183988	Moreira	Juraci	BRA
SVR593214	Dudek	Rajmund	POL
ZRT268520	Broniszewska	Alicja	POL
TNB992649	Krygier	Aneta	POL
ILM284454	Ujma	Ewa	POL
ROB418591	Galante	Cipriano	ITA
NUS288241	Hernandez	Sandra	COL
FUI482570	Cerwik	Ewa	POL
DFT547577	Messyasz	Ewa	POL
BGC280276	Galaota	Domenico	ITA
WEJ284877	Legionski	Marcin	POL
WBH682111	Gliwicki	Mateusz	POL
SNY175863	Nakhimoff	Teofan	RUS
CNT132748	Cygan	Hanna	POL
NBB739976	Andrade	Jose	ECU
ATL305067	Poniatowa	Adam	POL
