"Ident";"IMIÊ";"NAZWISKO";"ZAK£AD";"DATA_ZATRU";"P£EÆ";"PENSJA";"PALI"
1,00;"Ryszard";"Rymarz";"HL";1-1-82 00:00:00;"M";3120,00;1,00
2,00;"Wojciech";"Zamojda";"TCH";15-4-80 00:00:00;"M";3120,00;0,00
3,00;"Leon";"Buba";"MR";1-5-84 00:00:00;"M";4080,00;0,00
4,00;"Dariusz";"Punio";"HL";1-10-79 00:00:00;"M";3200,00;0,00
5,00;"Janina";"Giza";"TR";1-1-71 00:00:00;"K";3200,00;0,00
6,00;"Maciej";"Robik";"TR";1-8-75 00:00:00;"M";3200,00;0,00
7,00;"El¿bieta";"K³yciñska";"MR";1-2-88 00:00:00;"K";4480,00;1,00
8,00;"Bo¿ena";"Sowa";"MR";1-1-87 00:00:00;"K";4480,00;0,00
9,00;"Andrzej";"Babecki";"MR";1-11-86 00:00:00;"M";4080,00;0,00
10,00;"Witold";"Krust";"HL";1-5-84 00:00:00;"M";3200,00;1,00
11,00;"Bogdan";"Nowakowski";"TR";1-1-84 00:00:00;"M";3280,00;0,00
12,00;"Ewa";"Jurek";"TR";1-1-84 00:00:00;"K";3280,00;0,00
13,00;"Gra¿yna";"Chrust";"HL";1-6-84 00:00:00;"K";3280,00;0,00
14,00;"Hanna";"Kowalczyk";"HL";1-4-81 00:00:00;"K";3280,00;0,00
15,00;"Jacek";"Zieliñski";"MR";15-8-86 00:00:00;"M";4000,00;0,00
16,00;"Jerzy";"Lubec";"TCH";15-3-85 00:00:00;"M";3280,00;0,00
17,00;"Marek";"¯mijewski";"IT";1-1-80 00:00:00;"M";3280,00;0,00
18,00;"Alina";"D¹bek";"IT";1-10-79 00:00:00;"K";3360,00;1,00
19,00;"Alina";"Nowak";"TCH";1-4-77 00:00:00;"K";3360,00;0,00
20,00;"Andrzej";"Barabuk";"EK";1-8-75 00:00:00;"M";3360,00;1,00
21,00;"Anna";"Witek";"EK";1-1-74 00:00:00;"K";2200,00;0,00
22,00;"Irmina";"Fudecka";"TR";1-9-74 00:00:00;"K";3360,00;0,00
23,00;"Ma³gorzata";"Szulim";"MR";1-9-78 00:00:00;"K";4160,00;0,00
