id_gracza	imie	nazwisko	wiek	kategorie wiekowe		id_gry	id_gracza	stan	ocena			0	junior		grupa
1	Jozef	Gorecki	29	senior		66	1	posiada	8			20	senior		junior
2	Przemyslaw	Mazurek	68	weteran		72	1	chce kupic	3			50	weteran		
3	Cezary	Kaczmarczyk	41	senior		79	1	sprzedal	8						
4	Kornel	Wysocki	72	weteran		43	2	posiada	9						
5	Eustachy	Gorecki	74	weteran		45	2	chce kupic	7						
6	Gniewomir	Krupa	56	weteran		59	2	sprzedal	9						
7	Bartlomiej	Mroz	54	weteran		77	2	posiada	6						
8	Joachim	Kowalczyk	67	weteran		78	2	posiada	3						
9	Jakub	Glowacki	20	senior		109	2	posiada	8						
10	Arkadiusz	Nowak	61	weteran		107	4	posiada	7						
11	Klaudiusz	Mroz	38	senior		131	4	posiada	6						
12	Mariusz	Lis	67	weteran		35	5	posiada	5						
13	Amadeusz	Czerwinski	26	senior		48	5	posiada	7						
14	Dobromil	Wlodarczyk	43	senior		54	5	posiada	8						
15	Leonardo	Piotrowski	25	senior		56	5	posiada	7						
16	Milan	Maciejewski	20	senior		65	5	posiada	7						
17	Przemyslaw	Krupa	26	senior		73	5	posiada	5						
18	Pawel	Pietrzak	45	senior		106	5	posiada	7						
19	Natan	Lewandowski	49	senior		126	5	sprzedal	8						
20	Kuba	Jaworski	58	weteran		3	6	sprzedal	7						
21	Natan	Sadowski	22	senior		13	6	sprzedal	7						
22	Alex	Jakubowski	79	weteran		17	6	sprzedal	5						
23	Leonardo	Jasinski	22	senior		28	6	sprzedal	7						
24	Hubert	Michalak	76	weteran		43	6	sprzedal	7						
25	Denis	Lis	61	weteran		53	6	sprzedal	9						
26	Radoslaw	Zalewski	59	weteran		84	6	sprzedal	9						
27	Ksawery	Urbanski	22	senior		100	6	chce kupic	2						
28	Norbert	Krawczyk	44	senior		102	6	chce kupic	6						
29	Dawid	Mroz	71	weteran		54	7	chce kupic	10						
30	Krzysztof	Pawlak	25	senior		68	7	chce kupic	10						
31	Korneliusz	Szczepanski	82	weteran		75	7	posiada	7						
32	Eugeniusz	Adamski	83	weteran		84	7	chce kupic	9						
33	Milan	Piotrowski	88	weteran		102	7	sprzedal	5						
34	Kryspin	Dabrowski	85	weteran		45	8	posiada	4						
35	Miron	Ziolkowski	58	weteran		84	8	chce kupic	2						
36	Grzegorz	Mazur	78	weteran		108	8	sprzedal	9						
37	Maciej	Pawlak	68	weteran		1	9	posiada	3						
38	Mikolaj	Czerwinski	91	weteran		39	9	sprzedal	5						
39	Arkadiusz	Kowalski	90	weteran		55	9	sprzedal	9						
40	Lucjan	Kazmierczak	81	weteran		75	9	chce kupic	8						
41	Norbert	Walczak	33	senior		76	9	chce kupic	4						
42	Eugeniusz	Sokolowski	88	weteran		78	9	chce kupic	3						
43	Alexander	Gorski	75	weteran		12	10	chce kupic	10						
44	Konrad	Wroblewski	21	senior		23	10	posiada	10						
45	Maurycy	Sikorski	34	senior		94	10	chce kupic	3						
46	Dobromil	Sadowski	18	Junior		1	11	sprzedal	9						
47	Konrad	Borkowski	50	weteran		32	11	posiada	5						
48	Kacper	Wisniewski	58	weteran		67	11	chce kupic	6						
49	Marian	Kolodziej	61	weteran		73	11	sprzedal	6						
50	Adam	Chmielewski	56	weteran		76	11	posiada	6						
51	Oktawian	Kaminski	85	weteran		7	12	posiada	1						
52	Michal	Sawicki	54	weteran		82	12	posiada	5						
53	Arkadiusz	Mroz	49	senior		47	13	posiada	4						
54	Maksymilian	Maciejewski	40	senior		49	13	chce kupic	6						
55	Oskar	Michalak	86	weteran		85	13	sprzedal	7						
56	Albert	Wysocki	81	weteran		38	14	posiada	9						
57	Olaf	Kubiak	51	weteran		62	14	chce kupic	5						
58	Amadeusz	Nowak	14	Junior		70	14	sprzedal	6						
59	Allan	Szymczak	78	weteran		72	14	posiada	10						
60	Kryspin	Kowalczyk	42	senior		74	14	posiada	10						
61	Julian	Kaczmarczyk	68	weteran		85	14	posiada	10						
62	Pawel	Zalewski	74	weteran		93	14	posiada	7						
63	Robert	Lewandowski	88	weteran		123	14	posiada	7						
64	Janusz	Makowski	15	Junior		45	15	posiada	10						
65	Bartlomiej	Wisniewski	57	weteran		92	15	posiada	7						
66	Fryderyk	Brzezinski	91	weteran		96	15	posiada	9						
67	Marian	Glowacki	46	senior		104	15	posiada	8						
68	Oktawian	Krupa	90	weteran		120	15	posiada	10						
69	Milan	Kowalczyk	49	senior		50	16	posiada	9						
70	Juliusz	Cieslak	31	senior		85	16	posiada	6						
71	Heronim	Mazur	31	senior		130	16	posiada	7						
72	Korneliusz	Mazur	68	weteran		36	17	sprzedal	6						
73	Bronislaw	Dabrowski	88	weteran		53	17	sprzedal	7						
74	Gracjan	Adamski	22	senior		117	17	sprzedal	8						
75	Rafal	Mazurek	77	weteran		120	17	sprzedal	10						
76	Eustachy	Tomaszewski	62	weteran		2	18	sprzedal	6						
77	Gracjan	Blaszczyk	50	weteran		22	18	sprzedal	9						
78	Krystian	Przybylski	48	senior		2	19	sprzedal	10						
79	Alan	Baran	61	weteran		19	19	sprzedal	6						
80	Gustaw	Kaminski	79	weteran		70	19	chce kupic	10						
81	Mikolaj	Makowski	62	weteran		80	19	chce kupic	8						
82	Mateusz	Jasinski	62	weteran		130	19	chce kupic	8						
83	Arkadiusz	Ostrowski	30	senior		10	20	chce kupic	9						
84	Oktawian	Sobczak	62	weteran		49	20	posiada	7						
85	Aleks	Michalak	85	weteran		74	20	chce kupic	8						
86	Juliusz	Wozniak	39	senior		95	20	sprzedal	10						
87	Kordian	Sokolowski	51	weteran		96	20	posiada	10						
88	Roman	Szewczyk	78	weteran		92	21	chce kupic	10						
89	Piotr	Kozlowski	90	weteran		105	21	sprzedal	6						
90	Kewin	Michalak	83	weteran		18	22	posiada	7						
91	Marian	Tomaszewski	39	senior		31	22	sprzedal	6						
92	Aleks	Kozlowski	44	senior		35	22	sprzedal	6						
93	Cyprian	Ostrowski	79	weteran		99	22	chce kupic	7						
94	Kacper	Kaczmarczyk	90	weteran		118	22	chce kupic	6						
95	Amadeusz	Wojcik	20	senior		34	23	chce kupic	9						
96	Przemyslaw	Czerwinski	38	senior		35	23	chce kupic	10						
97	Kamil	Baranowski	42	senior		62	23	posiada	7						
98	Mieszko	Gajewski	24	senior		69	23	chce kupic	6						
99	Jedrzej	Szymczak	19	Junior		99	23	sprzedal	8						
100	Igor	Kolodziej	78	weteran		2	24	posiada	7						
101	Norbert	Zielinski	88	weteran		93	24	chce kupic	10						
102	Hubert	Ostrowski	58	weteran		97	24	sprzedal	6						
103	Maksymilian	Stepien	32	senior		29	25	posiada	9						
104	Mieszko	Nowak	89	weteran		32	25	posiada	10						
105	Florian	Jasinski	47	senior		78	25	posiada	6						
106	Borys	Lewandowski	22	senior		102	25	posiada	6						
107	Alfred	Malinowski	14	Junior		107	25	chce kupic	6						
108	Gracjan	Sikorski	49	senior		26	26	sprzedal	9						
109	Ignacy	Kucharski	47	senior		84	26	posiada	10						
110	Kamil	Zalewski	36	senior		96	26	chce kupic	6						
111	Ksawery	Walczak	93	weteran		97	26	posiada	10						
112	Amir	Jaworski	45	senior		30	27	posiada	9						
113	Aleksander	Urbanski	93	weteran		35	27	posiada	10						
114	Eugeniusz	Jaworski	29	senior		42	27	posiada	6						
115	Denis	Nowak	76	weteran		95	27	posiada	10						
116	Jedrzej	Nowak	29	senior		108	27	posiada	9						
117	Piotr	Sobczak	63	weteran		128	27	posiada	6						
118	Gustaw	Adamski	80	weteran		58	28	posiada	8						
119	Dorian	Glowacki	85	weteran		83	28	posiada	9						
120	Alex	Zielinski	44	senior		116	28	posiada	7						
121	Mikolaj	Szymczak	61	weteran		2	29	posiada	9						
122	Janusz	Marciniak	21	senior		7	29	posiada	8						
123	Emanuel	Kalinowski	51	weteran		20	29	posiada	9						
124	Bogumil	Kubiak	42	senior		61	29	sprzedal	8						
125	Kazimierz	Kozlowski	19	Junior		103	29	sprzedal	9						
126	Konstanty	Glowacki	29	senior		121	29	sprzedal	10						
127	Emil	Sadowski	27	senior		22	30	posiada	10						
128	Emil	Zielinski	22	senior		88	30	posiada	8						
129	Ignacy	Szczepanski	26	senior		96	30	posiada	9						
130	Jaroslaw	Jankowski	79	weteran		102	30	posiada	8						
131	Konstanty	Sawicki	74	weteran		114	30	sprzedal	8						
132	Bartlomiej	Wojciechowski	36	senior		53	31	chce kupic	7						
133	Oktawian	Marciniak	82	weteran		58	31	chce kupic	8						
134	Franciszek	Zielinski	68	weteran		68	31	chce kupic	9						
135	Ernest	Zakrzewski	53	weteran		70	31	chce kupic	7						
136	Hubert	Wlodarczyk	51	weteran		45	32	posiada	9						
137	Damian	Michalak	71	weteran		128	32	chce kupic	6						
138	Anatol	Blaszczyk	40	senior		13	33	sprzedal	7						
139	Karol	Szymczak	22	senior		25	33	posiada	9						
140	Alan	Andrzejewski	81	weteran		32	33	chce kupic	10						
141	Klaudiusz	Sokolowski	36	senior		33	33	sprzedal	6						
142	Dorian	Wozniak	81	weteran		38	33	posiada	6						
143	Gniewomir	Kowalski	35	senior		76	33	sprzedal	6						
144	Amir	Lis	80	weteran		90	33	sprzedal	7						
145	Boleslaw	Sikorski	40	senior		2	34	chce kupic	9						
146	Kryspin	Tomaszewski	51	weteran		20	34	chce kupic	6						
147	Diego	Michalak	47	senior		60	35	chce kupic	10						
148	Dawid	Wysocki	14	Junior		45	36	chce kupic	8						
149	Marek	Kalinowski	18	Junior		84	36	posiada	7						
150	Damian	Sikorski	59	weteran		92	37	chce kupic	7						
151	Emanuel	Lewandowski	76	weteran		24	38	sprzedal	9						
152	Joachim	Marciniak	92	weteran		40	38	posiada	8						
153	Anatol	Szymanski	68	weteran		4	39	chce kupic	6						
154	Aleks	Kaminski	15	Junior		26	39	sprzedal	9						
155	Eugeniusz	Sikora	36	senior		40	39	posiada	10						
156	Miron	Kaminski	16	Junior		42	39	posiada	9						
157	Lukasz	Szymanski	63	weteran		66	39	posiada	8						
158	Olgierd	Kaminski	24	senior		79	39	posiada	7						
159	Jozef	Dabrowski	90	weteran		49	40	chce kupic	6						
160	Igor	Mroz	60	weteran		84	40	sprzedal	8						
161	Martin	Zawadzki	48	senior		28	41	posiada	7						
162	Alek	Duda	59	weteran		49	41	chce kupic	7						
163	Daniel	Makowski	33	senior		55	41	sprzedal	9						
164	Dominik	Kazmierczak	52	weteran		77	41	posiada	10						
165	Ernest	Blaszczyk	49	senior		94	41	posiada	9						
166	Fabian	Kaminski	51	weteran		33	42	posiada	7						
167	Ksawery	Jankowski	87	weteran		74	42	posiada	9						
168	Karol	Wojciechowski	74	weteran		43	43	posiada	7						
169	Gracjan	Wroblewski	92	weteran		46	43	posiada	7						
170	Bronislaw	Cieslak	68	weteran		48	43	posiada	9						
171	Natan	Kwiatkowski	14	Junior		22	44	posiada	9						
172	Julian	Wojciechowski	74	weteran		53	45	posiada	10						
173	Roman	Andrzejewski	23	senior		42	46	posiada	7						
174	Emanuel	Sadowski	59	weteran		100	46	posiada	9						
175	Edward	Ziolkowski	48	senior		26	47	posiada	6						
176	Oskar	Krajewski	82	weteran		34	47	posiada	7						
177	Ernest	Andrzejewski	42	senior		71	47	sprzedal	8						
178	Dobromil	Cieslak	87	weteran		74	47	sprzedal	9						
179	Klaudiusz	Wisniewski	66	weteran		12	48	sprzedal	7						
180	Marek	Zakrzewski	42	senior		29	48	sprzedal	9						
181	Karol	Blaszczyk	69	weteran		60	48	sprzedal	10						
182	Arkadiusz	Brzezinski	25	senior		83	48	sprzedal	7						
183	Allan	Wasilewski	51	weteran		107	48	sprzedal	10						
184	Juliusz	Sadowski	37	senior		119	48	sprzedal	7						
185	Ksawery	Baranowski	69	weteran		126	48	chce kupic	8						
186	Fabian	Wozniak	87	weteran		73	49	chce kupic	8						
187	Alex	Szulc	39	senior		88	49	chce kupic	9						
188	Maciej	Kwiatkowski	55	weteran		121	49	chce kupic	6						
189	Alex	Maciejewski	53	weteran		26	50	posiada	10						
190	Gabriel	Sadowski	85	weteran		30	50	chce kupic	7						
191	Alex	Laskowski	42	senior		60	50	sprzedal	10						
192	Bruno	Krajewski	84	weteran		91	50	posiada	8						
193	Fryderyk	Michalak	22	senior		18	51	chce kupic	9						
194	Bogumil	Pawlak	49	senior		63	51	sprzedal	6						
195	Dariusz	Mroz	56	weteran		93	51	posiada	6						
196	Jozef	Kaminski	38	senior		100	51	sprzedal	8						
197	Antoni	Krawczyk	19	Junior		97	52	sprzedal	10						
198	Bruno	Czarnecki	70	weteran		53	53	chce kupic	8						
199	Ireneusz	Borkowski	52	weteran		69	53	chce kupic	6						
200	Mateusz	Lewandowski	56	weteran		74	53	chce kupic	9						
201	Andrzej	Jankowski	71	weteran		100	53	chce kupic	10						
202	Ernest	Czarnecki	87	weteran		112	53	posiada	9						
203	Kamil	Ostrowski	76	weteran		32	54	chce kupic	8						
204	Jozef	Cieslak	50	weteran		44	54	sprzedal	8						
205	Edward	Zakrzewski	57	weteran		97	54	posiada	7						
206	Konrad	Wisniewski	32	senior		36	55	chce kupic	7						
207	Bruno	Urbanski	59	weteran		55	55	sprzedal	9						
